Title,Year,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
5 Centimeters Per Second,2007,tt0983213,63,SzAO_NeCmkM,7.7,https://hydramovies.com/wp-content/uploads/2018/04/5-Centimeters-Per-Second-Movie-Poster.jpg,Makoto Shinkai,Makoto Shinkai,Kenji Mizuhashi|Yoshimi Kondou
Faces Places,2017,tt5598102,89,2rKZcAiLHlY,8,https://hydramovies.com/wp-content/uploads/2018/04/Faces-Places-Movie-Poster.jpg,JR,JR,Agnès Varda|Jeannine Carpentier|JR
The Post,2017,tt6294822,116,nrXlY6gzTTM,7.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Post-Movie-Poster.jpg,Steven Spielberg,Liz Hannah,Meryl Streep|Sarah Paulson|Tom Hanks
The Anthem of the Heart,2017,tt6738046,119,EnbgMjdguxI,6.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Anthem-of-the-Heart-Movie-Poster.jpg,Naoto Kumazawa,Yukiko Manabe,Anna Ishii|Tsunaki Fukushima|Yoshiyoshi Arakawa
My Teacher,2017,tt6190198,113,HpYqkdn2ilU,6,https://hydramovies.com/wp-content/uploads/2018/04/My-Teacher-Movie-Poster.jpg,Takahiro Miki,Kazune Kawahara,Manami Higa|Suzu Hirose|Tôma Ikuta
You Were Never Really Here,2017,tt5742374,89,yMqsd7Umxy8,7.1,https://hydramovies.com/wp-content/uploads/2018/04/You-Were-Never-Really-Here-Movie-Poster.jpg,Lynne Ramsay,Lynne Ramsay,Ekaterina Samsonov|Joaquin Phoenix|Judith Roberts
Petals on the Wind,2014,tt3496892,85,X8b86Bgrk0w,6.3,https://hydramovies.com/wp-content/uploads/2018/04/Petals-on-the-Wind-Movie-Poster.jpg,Karen Moncrieff,Virginia C. Andrews,Heather Graham|Rose McIver|Wyatt Nash
Jesus Christ Superstar Live in Concert,2018,tt6874964,99,mPbb4BDirHA,8,https://hydramovies.com/wp-content/uploads/2018/04/Jesus-Christ-Superstar-Live-in-Concert-Movie-Poster.jpg,David Leveaux,Tim Rice,Alice Cooper|Ben Daniels|Sara Bareilles
Dare to Be Wild,2015,tt2989350,100,12lF4c06yEY,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Dare-to-Be-Wild-Movie-Poster.jpg,Vivienne De Courcy,Vivienne De Courcy,Alex Macqueen|Emma Greenwell|Tom Hughes
Being Julia,2004,tt0340012,104,quzIsJq7t08,7,https://hydramovies.com/wp-content/uploads/2018/04/Being-Julia-Movie-Poster.jpg,István Szabó,W. Somerset Maugham,Annette Bening|Maury Chaykin|Michael Gambon
Trouble Is My Business,2018,tt2243900,116,SqUEOsQf6hM,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Trouble-Is-My-Business-Movie-Poster.jpg,Tom Konkle,Tom Konkle,Brittney Powell|Tom Konkle|Vernon Wells
